# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	Total
1.681e-02	8.9941092e+02	6.8024204e-11	8.9932673e-24	1.1951227e-36	2.2686067e-49	7.9547758e-62	6.6603850e-74	1.8450625e-85	2.4892897e-96	2.5110275e-106	2.9126350e-115	5.7465860e-123	2.4890794e-129	2.5893262e-134	5.7805217e-138	7.5447135e-141	2.6143769e-142	3.1414082e-143	7.1492740e-144	8.9941092e+02
1.770e-02	8.7482955e+02	6.5334446e-11	8.6045793e-24	1.1432580e-36	2.1722435e-49	7.6256790e-62	6.3915912e-74	1.7721629e-85	2.3925960e-96	2.4147397e-106	2.8019691e-115	5.5295738e-123	2.3954337e-129	2.4921124e-134	5.5637267e-138	7.2619123e-141	2.5163972e-142	3.0236856e-143	6.8813645e-144	8.7482955e+02
1.863e-02	8.5066756e+02	6.2736126e-11	8.2328095e-24	1.0938915e-36	2.0807310e-49	7.3135342e-62	6.1368556e-74	1.7031206e-85	2.3010659e-96	2.3236307e-106	2.6972862e-115	5.3243343e-123	2.3068790e-129	2.4001902e-134	5.3587395e-138	6.9945188e-141	2.4237559e-142	2.9123770e-143	6.6280561e-144	8.5066756e+02
1.961e-02	8.2693335e+02	6.0227894e-11	7.8774141e-24	1.0469204e-36	1.9938510e-49	7.0175574e-62	5.8955260e-74	1.6377579e-85	2.2144638e-96	2.2374659e-106	2.5983170e-115	5.1303434e-123	2.2231885e-129	2.3133240e-134	5.1650346e-138	6.7418479e-141	2.3362158e-142	2.8071974e-143	6.3886891e-144	8.2693335e+02
2.064e-02	8.0363401e+02	5.7808272e-11	7.5378489e-24	1.0022447e-36	1.9113938e-49	6.7370011e-62	5.6669839e-74	1.5759066e-85	2.1325670e-96	2.1560242e-106	2.5048081e-115	4.9470984e-123	2.1441482e-129	2.2312920e-134	4.9821179e-138	6.5032550e-141	2.2535536e-142	2.7078788e-143	6.1626604e-144	8.0363401e+02
2.173e-02	7.8077543e+02	5.5475667e-11	7.2135704e-24	9.5976725e-37	1.8331587e-49	6.4711549e-62	5.4506435e-74	1.5174080e-85	2.0551656e-96	2.0790976e-106	2.4165212e-115	4.7741376e-123	2.0695576e-129	2.1538861e-134	4.8095253e-138	6.2781353e-141	2.1755598e-142	2.6141693e-143	5.9493970e-144	7.8077543e+02
2.287e-02	7.5836238e+02	5.3228383e-11	6.9040398e-24	9.1939402e-37	1.7589538e-49	6.2193434e-62	5.2459506e-74	1.4621122e-85	1.9820623e-96	2.0064905e-106	2.3332328e-115	4.6110240e-123	1.9992287e-129	2.0809111e-134	4.6468222e-138	6.0659215e-141	2.1020379e-142	2.5258330e-143	5.7483624e-144	7.5836238e+02
2.408e-02	7.5243828e+02	5.1386725e-11	6.6087232e-24	8.8103401e-37	1.6885956e-49	5.9809260e-62	5.0523815e-74	1.4098783e-85	1.9130714e-96	1.9380197e-106	2.2547333e-115	4.4573486e-123	1.9329849e-129	2.0121849e-134	4.4936029e-138	5.8660841e-141	2.0328045e-142	2.4426497e-143	5.5590547e-144	7.5243828e+02
2.535e-02	7.3026923e+02	4.9277254e-11	6.3361215e-24	8.4486246e-37	1.6220223e-49	5.7553947e-62	4.8694654e-74	1.3605756e-85	1.8480200e-96	1.8735135e-106	2.1808272e-115	4.3127301e-123	1.8706626e-129	1.9475373e-134	4.3494877e-138	5.6781297e-141	1.9676887e-142	2.3644139e-143	5.3810068e-144	7.3026923e+02
2.668e-02	7.0857867e+02	4.7249692e-11	6.0665300e-24	8.1022645e-37	1.5588192e-49	5.5419564e-62	4.6966856e-74	1.3140751e-85	1.7867430e-96	1.8128124e-106	2.1113326e-115	4.1768138e-123	1.8121095e-129	1.8868108e-134	4.2141258e-138	5.5016004e-141	1.9065319e-142	2.2909350e-143	5.2137848e-144	7.0857867e+02
2.808e-02	6.8736671e+02	4.5301930e-11	5.8097358e-24	7.7735694e-37	1.4989671e-49	5.3401942e-62	4.5336351e-74	1.2702631e-85	1.7290901e-96	1.7557667e-106	2.0460801e-115	4.0492713e-123	1.7571845e-129	1.8298592e-134	4.0871925e-138	5.3360724e-141	1.8491872e-142	2.2220369e-143	5.0569879e-144	6.8736671e+02
2.956e-02	6.6663265e+02	4.3431828e-11	5.5652287e-24	7.4617516e-37	1.4423151e-49	5.1495957e-62	4.3799033e-74	1.2290308e-85	1.6749203e-96	1.7022392e-106	1.9849138e-115	3.9297995e-123	1.7057580e-129	1.7765486e-134	3.9683891e-138	5.1811569e-141	1.7955202e-142	2.1575578e-143	4.9102477e-144	6.6663265e+02
3.112e-02	6.4637510e+02	4.1637223e-11	5.3325122e-24	7.1660580e-37	1.3887202e-49	4.9696790e-62	4.2351069e-74	1.1902770e-85	1.6241029e-96	1.6521029e-106	1.9276908e-115	3.8181218e-123	1.6577115e-129	1.7267565e-134	3.8574434e-138	5.0364990e-141	1.7454078e-142	2.0973501e-143	4.7732284e-144	6.4637510e+02
3.276e-02	6.3915123e+02	4.0094158e-11	5.1152324e-24	6.8866896e-37	1.3380780e-49	4.8000129e-62	4.0988917e-74	1.1539084e-85	1.5765180e-96	1.6052417e-106	1.8742806e-115	3.7139865e-123	1.6129374e-129	1.6803720e-134	3.7541089e-138	4.9017780e-141	1.6987389e-142	2.0412801e-143	4.6456262e-144	6.3915123e+02
